step 0.000000    loss_mse 0.001145    loss_niqe 8235.908909   loss_pi: 8411.886374 
step 10.000000    loss_mse 0.000013    loss_niqe 8023.756199   loss_pi: 8295.108292 
step 20.000000    loss_mse 0.000020    loss_niqe 8311.337620   loss_pi: 8385.817230 
step 30.000000    loss_mse 0.000030    loss_niqe 8366.797013   loss_pi: 8410.640658 
step 40.000000    loss_mse 0.000040    loss_niqe 8373.121500   loss_pi: 8428.730229 
step 50.000000    loss_mse 0.000040    loss_niqe 8472.142772   loss_pi: 8481.240276 
step 60.000000    loss_mse 0.000041    loss_niqe 8554.455936   loss_pi: 8515.215257 
step 70.000000    loss_mse 0.000044    loss_niqe 8594.128967   loss_pi: 8535.534142 
step 80.000000    loss_mse 0.000046    loss_niqe 8618.103858   loss_pi: 8533.476774 
step 90.000000    loss_mse 0.000045    loss_niqe 8606.700406   loss_pi: 8530.473915 
step 100.000000    loss_mse 0.000045    loss_niqe 8609.006354   loss_pi: 8533.273951 
step 110.000000    loss_mse 0.000045    loss_niqe 8628.639673   loss_pi: 8546.569653 
step 120.000000    loss_mse 0.000045    loss_niqe 8622.566274   loss_pi: 8534.672273 
step 130.000000    loss_mse 0.000045    loss_niqe 8635.936078   loss_pi: 8545.670382 
step 140.000000    loss_mse 0.000046    loss_niqe 8660.251975   loss_pi: 8545.981206 
step 150.000000    loss_mse 0.000046    loss_niqe 8669.600930   loss_pi: 8552.054814 
step 160.000000    loss_mse 0.000046    loss_niqe 8654.500884   loss_pi: 8550.043552 
step 170.000000    loss_mse 0.000046    loss_niqe 8639.218260   loss_pi: 8540.691262 
step 180.000000    loss_mse 0.000048    loss_niqe 8656.740532   loss_pi: 8554.772110 
step 190.000000    loss_mse 0.000049    loss_niqe 8667.446568   loss_pi: 8554.572884 
step 200.000000    loss_mse 0.000049    loss_niqe 8690.360845   loss_pi: 8553.903223 
step 210.000000    loss_mse 0.000050    loss_niqe 8697.383158   loss_pi: 8573.916506 
step 220.000000    loss_mse 0.000050    loss_niqe 8694.779810   loss_pi: 8571.306725 
step 230.000000    loss_mse 0.000051    loss_niqe 8669.658331   loss_pi: 8561.999478 
step 240.000000    loss_mse 0.000051    loss_niqe 8671.947013   loss_pi: 8555.986404 
step 250.000000    loss_mse 0.000052    loss_niqe 8643.490530   loss_pi: 8537.164543 
step 260.000000    loss_mse 0.000053    loss_niqe 8659.829917   loss_pi: 8538.363725 
step 270.000000    loss_mse 0.000054    loss_niqe 8667.374544   loss_pi: 8529.691456 
step 280.000000    loss_mse 0.000055    loss_niqe 8663.637136   loss_pi: 8542.983613 
step 290.000000    loss_mse 0.000055    loss_niqe 8666.547361   loss_pi: 8548.013869 
step 300.000000    loss_mse 0.000055    loss_niqe 8687.318775   loss_pi: 8557.274845 
step 310.000000    loss_mse 0.000056    loss_niqe 8709.821842   loss_pi: 8582.924716 
step 320.000000    loss_mse 0.000055    loss_niqe 8728.526747   loss_pi: 8597.118919 
step 330.000000    loss_mse 0.000055    loss_niqe 8752.044191   loss_pi: 8600.337211 
step 340.000000    loss_mse 0.000055    loss_niqe 8783.468773   loss_pi: 8611.987499 
step 350.000000    loss_mse 0.000055    loss_niqe 8800.109058   loss_pi: 8625.301864 
step 360.000000    loss_mse 0.000055    loss_niqe 8784.832575   loss_pi: 8610.430641 
step 370.000000    loss_mse 0.000054    loss_niqe 8792.812708   loss_pi: 8621.094097 
step 380.000000    loss_mse 0.000053    loss_niqe 8805.466720   loss_pi: 8623.772704 
step 390.000000    loss_mse 0.000053    loss_niqe 8811.769194   loss_pi: 8630.003307 
step 400.000000    loss_mse 0.000053    loss_niqe 8818.595879   loss_pi: 8634.451436 
step 410.000000    loss_mse 0.000053    loss_niqe 8822.692403   loss_pi: 8626.160091 
step 420.000000    loss_mse 0.000051    loss_niqe 8806.091209   loss_pi: 8631.001631 
step 430.000000    loss_mse 0.000051    loss_niqe 8804.629375   loss_pi: 8634.055878 
step 440.000000    loss_mse 0.000051    loss_niqe 8818.907297   loss_pi: 8640.234175 
step 450.000000    loss_mse 0.000050    loss_niqe 8827.786853   loss_pi: 8647.371601 
step 460.000000    loss_mse 0.000050    loss_niqe 8825.007908   loss_pi: 8645.804410 
step 470.000000    loss_mse 0.000050    loss_niqe 8839.551763   loss_pi: 8654.468370 
step 480.000000    loss_mse 0.000049    loss_niqe 8840.750249   loss_pi: 8654.648429 
step 490.000000    loss_mse 0.000049    loss_niqe 8847.174163   loss_pi: 8662.538522 
step 500.000000    loss_mse 0.000049    loss_niqe 8849.267573   loss_pi: 8657.051756 
step 510.000000    loss_mse 0.000005    loss_niqe 8434.739776   loss_pi: 8460.309033 
step 520.000000    loss_mse 0.000014    loss_niqe 8756.822902   loss_pi: 8614.955825 
step 530.000000    loss_mse 0.000030    loss_niqe 9045.389901   loss_pi: 8784.234244 
step 540.000000    loss_mse 0.000032    loss_niqe 9001.128159   loss_pi: 8755.548970 
step 550.000000    loss_mse 0.000034    loss_niqe 9066.120200   loss_pi: 8784.457469 
step 560.000000    loss_mse 0.000036    loss_niqe 9149.552287   loss_pi: 8810.534127 
step 570.000000    loss_mse 0.000035    loss_niqe 9138.380697   loss_pi: 8801.984531 
step 580.000000    loss_mse 0.000034    loss_niqe 9129.874905   loss_pi: 8802.958988 
step 590.000000    loss_mse 0.000034    loss_niqe 9124.029544   loss_pi: 8797.906232 
step 600.000000    loss_mse 0.000032    loss_niqe 9101.822341   loss_pi: 8788.769296 
step 610.000000    loss_mse 0.000032    loss_niqe 9057.063907   loss_pi: 8766.256116 
step 620.000000    loss_mse 0.000032    loss_niqe 9056.645099   loss_pi: 8757.722037 
step 630.000000    loss_mse 0.000031    loss_niqe 9016.732470   loss_pi: 8737.742825 
step 640.000000    loss_mse 0.000032    loss_niqe 9028.430821   loss_pi: 8746.957547 
step 650.000000    loss_mse 0.000033    loss_niqe 9026.306810   loss_pi: 8745.292189 
step 660.000000    loss_mse 0.000032    loss_niqe 9031.971063   loss_pi: 8749.250406 
step 670.000000    loss_mse 0.000034    loss_niqe 9023.110096   loss_pi: 8746.155980 
step 680.000000    loss_mse 0.000033    loss_niqe 8985.992983   loss_pi: 8729.788750 
step 690.000000    loss_mse 0.000035    loss_niqe 9031.102062   loss_pi: 8750.024897 
step 700.000000    loss_mse 0.000035    loss_niqe 9014.594117   loss_pi: 8749.054800 
step 710.000000    loss_mse 0.000035    loss_niqe 9007.472115   loss_pi: 8738.356382 
step 720.000000    loss_mse 0.000033    loss_niqe 9012.192523   loss_pi: 8750.318086 
step 730.000000    loss_mse 0.000034    loss_niqe 9008.638431   loss_pi: 8746.386175 
step 740.000000    loss_mse 0.000035    loss_niqe 8995.951328   loss_pi: 8743.160291 
step 750.000000    loss_mse 0.000035    loss_niqe 9007.134098   loss_pi: 8750.293669 
step 760.000000    loss_mse 0.000036    loss_niqe 9011.732409   loss_pi: 8749.181038 
step 770.000000    loss_mse 0.000037    loss_niqe 8991.633351   loss_pi: 8745.621859 
step 780.000000    loss_mse 0.000037    loss_niqe 9001.597165   loss_pi: 8745.275965 
step 790.000000    loss_mse 0.000038    loss_niqe 9023.495769   loss_pi: 8755.657369 
step 800.000000    loss_mse 0.000036    loss_niqe 8984.939186   loss_pi: 8740.913510 
step 810.000000    loss_mse 0.000037    loss_niqe 8947.424424   loss_pi: 8735.592393 
step 820.000000    loss_mse 0.000038    loss_niqe 9008.132724   loss_pi: 8752.407121 
step 830.000000    loss_mse 0.000038    loss_niqe 8994.194809   loss_pi: 8742.086325 
step 840.000000    loss_mse 0.000038    loss_niqe 8979.377492   loss_pi: 8740.073272 
step 850.000000    loss_mse 0.000038    loss_niqe 9005.733502   loss_pi: 8750.229595 
step 860.000000    loss_mse 0.000038    loss_niqe 8968.743176   loss_pi: 8741.072978 
step 870.000000    loss_mse 0.000039    loss_niqe 9011.604139   loss_pi: 8754.775459 
step 880.000000    loss_mse 0.000039    loss_niqe 9019.772314   loss_pi: 8758.809688 
step 890.000000    loss_mse 0.000039    loss_niqe 9014.796900   loss_pi: 8751.644303 
step 900.000000    loss_mse 0.000039    loss_niqe 9011.083444   loss_pi: 8753.738387 
step 910.000000    loss_mse 0.000039    loss_niqe 9004.461349   loss_pi: 8751.219725 
step 920.000000    loss_mse 0.000039    loss_niqe 9011.538271   loss_pi: 8754.592255 
step 930.000000    loss_mse 0.000039    loss_niqe 8987.731822   loss_pi: 8737.732678 
step 940.000000    loss_mse 0.000040    loss_niqe 8980.766671   loss_pi: 8739.445843 
step 950.000000    loss_mse 0.000040    loss_niqe 8987.527283   loss_pi: 8740.408542 
step 960.000000    loss_mse 0.000040    loss_niqe 9017.857418   loss_pi: 8748.172972 
step 970.000000    loss_mse 0.000040    loss_niqe 8969.121438   loss_pi: 8736.406516 
step 980.000000    loss_mse 0.000041    loss_niqe 9022.216275   loss_pi: 8749.265570 
step 990.000000    loss_mse 0.000040    loss_niqe 8980.383380   loss_pi: 8737.282836 
step 1000.000000    loss_mse 0.000041    loss_niqe 9003.072357   loss_pi: 8744.803235 
step 1010.000000    loss_mse 0.000041    loss_niqe 9003.222374   loss_pi: 8748.194616 
step 1020.000000    loss_mse 0.000041    loss_niqe 9008.823707   loss_pi: 8744.129654 
step 1030.000000    loss_mse 0.000042    loss_niqe 9004.676290   loss_pi: 8745.626293 
step 1040.000000    loss_mse 0.000042    loss_niqe 8985.555698   loss_pi: 8731.547812 
step 1050.000000    loss_mse 0.000042    loss_niqe 9025.402494   loss_pi: 8753.575218 
step 1060.000000    loss_mse 0.000042    loss_niqe 9007.500327   loss_pi: 8746.304921 
step 1070.000000    loss_mse 0.000042    loss_niqe 8988.207348   loss_pi: 8739.498600 
step 1080.000000    loss_mse 0.000043    loss_niqe 8996.656602   loss_pi: 8742.444677 
step 1090.000000    loss_mse 0.000043    loss_niqe 8991.734898   loss_pi: 8736.273409 
step 1100.000000    loss_mse 0.000043    loss_niqe 8984.891349   loss_pi: 8730.282758 
step 1110.000000    loss_mse 0.000043    loss_niqe 8951.875522   loss_pi: 8713.841574 
step 1120.000000    loss_mse 0.000043    loss_niqe 9006.956198   loss_pi: 8746.323932 
step 1130.000000    loss_mse 0.000043    loss_niqe 8980.254404   loss_pi: 8731.152597 
step 1140.000000    loss_mse 0.000043    loss_niqe 8947.796838   loss_pi: 8725.933462 
step 1150.000000    loss_mse 0.000044    loss_niqe 8997.139840   loss_pi: 8737.328003 
