loss_mse 0.001951    loss_niqe 7922.830143   loss_pi: 8269.866848 
loss_mse 0.000603    loss_niqe 8480.636385   loss_pi: 8528.437420 
loss_mse 0.000587    loss_niqe 8385.118628   loss_pi: 8507.038908 
loss_mse 0.000059    loss_niqe 8042.770834   loss_pi: 8269.879137 
loss_mse 0.000058    loss_niqe 7983.736305   loss_pi: 8315.167881 
loss_mse 0.000056    loss_niqe 8001.963004   loss_pi: 8295.668708 
loss_mse 0.000048    loss_niqe 8129.386876   loss_pi: 8371.304395 
loss_mse 0.000042    loss_niqe 8169.942071   loss_pi: 8403.911503 
loss_mse 0.000039    loss_niqe 8171.572959   loss_pi: 8376.074454 
loss_mse 0.000039    loss_niqe 8083.431275   loss_pi: 8335.972779 
loss_mse 0.000042    loss_niqe 8058.629175   loss_pi: 8302.776555 
loss_mse 0.000043    loss_niqe 8119.486264   loss_pi: 8312.685887 
loss_mse 0.000043    loss_niqe 8152.425776   loss_pi: 8334.758762 
loss_mse 0.000043    loss_niqe 8180.770041   loss_pi: 8340.735972 
loss_mse 0.000043    loss_niqe 8168.576888   loss_pi: 8340.682506 
loss_mse 0.000042    loss_niqe 8192.955489   loss_pi: 8357.563888 
loss_mse 0.000042    loss_niqe 8164.098636   loss_pi: 8346.673990 
loss_mse 0.000043    loss_niqe 8190.978259   loss_pi: 8361.983554 
loss_mse 0.000043    loss_niqe 8208.178420   loss_pi: 8366.809905 
loss_mse 0.000043    loss_niqe 8145.250725   loss_pi: 8328.195968 
loss_mse 0.000044    loss_niqe 8180.745674   loss_pi: 8347.392444 
loss_mse 0.000044    loss_niqe 8138.541915   loss_pi: 8322.919593 
loss_mse 0.000044    loss_niqe 8154.009197   loss_pi: 8326.129002 
loss_mse 0.000043    loss_niqe 8174.978833   loss_pi: 8326.716384 
loss_mse 0.000042    loss_niqe 8156.431253   loss_pi: 8319.750084 
loss_mse 0.000041    loss_niqe 8214.664165   loss_pi: 8335.392075 
loss_mse 0.000040    loss_niqe 8167.156729   loss_pi: 8314.369814 
loss_mse 0.000039    loss_niqe 8214.501636   loss_pi: 8333.095357 
loss_mse 0.000039    loss_niqe 8214.618038   loss_pi: 8335.710744 
loss_mse 0.000039    loss_niqe 8198.058513   loss_pi: 8332.672965 
loss_mse 0.000039    loss_niqe 8214.683791   loss_pi: 8332.353369 
loss_mse 0.000038    loss_niqe 8206.208866   loss_pi: 8328.612402 
loss_mse 0.000038    loss_niqe 8171.466022   loss_pi: 8316.633017 
loss_mse 0.000037    loss_niqe 8197.750672   loss_pi: 8328.551649 
loss_mse 0.000037    loss_niqe 8206.795735   loss_pi: 8329.555227 
loss_mse 0.000037    loss_niqe 8188.681581   loss_pi: 8325.394131 
loss_mse 0.000037    loss_niqe 8211.043581   loss_pi: 8341.053349 
loss_mse 0.000037    loss_niqe 8202.016463   loss_pi: 8336.121118 
loss_mse 0.000036    loss_niqe 8210.700665   loss_pi: 8346.330724 
loss_mse 0.000036    loss_niqe 8210.869331   loss_pi: 8344.924629 
loss_mse 0.000036    loss_niqe 8231.587440   loss_pi: 8351.040935 
loss_mse 0.000036    loss_niqe 8225.404685   loss_pi: 8356.878298 
loss_mse 0.000036    loss_niqe 8249.149190   loss_pi: 8371.134892 
loss_mse 0.000036    loss_niqe 8273.157317   loss_pi: 8378.225015 
loss_mse 0.000036    loss_niqe 8276.587335   loss_pi: 8377.987991 
loss_mse 0.000036    loss_niqe 8292.796124   loss_pi: 8389.966839 
loss_mse 0.000036    loss_niqe 8315.102681   loss_pi: 8401.908216 
loss_mse 0.000037    loss_niqe 8297.029084   loss_pi: 8397.948313 
loss_mse 0.000037    loss_niqe 8324.734763   loss_pi: 8408.254365 
loss_mse 0.000037    loss_niqe 8361.745120   loss_pi: 8421.316320 
loss_mse 0.000037    loss_niqe 8367.859609   loss_pi: 8425.143967 
loss_mse 0.000037    loss_niqe 8376.196020   loss_pi: 8426.795577 
loss_mse 0.000037    loss_niqe 8386.366953   loss_pi: 8431.396008 
loss_mse 0.000037    loss_niqe 8390.117164   loss_pi: 8434.363105 
loss_mse 0.000037    loss_niqe 8396.071875   loss_pi: 8436.597518 
loss_mse 0.000037    loss_niqe 8411.304035   loss_pi: 8442.915888 
loss_mse 0.000038    loss_niqe 8412.331320   loss_pi: 8443.444132 
loss_mse 0.000038    loss_niqe 8427.658263   loss_pi: 8450.615620 
loss_mse 0.000038    loss_niqe 8432.173483   loss_pi: 8453.292546 
loss_mse 0.000038    loss_niqe 8428.075832   loss_pi: 8449.131031 
loss_mse 0.000039    loss_niqe 8430.503309   loss_pi: 8450.381739 
loss_mse 0.000039    loss_niqe 8422.035817   loss_pi: 8446.707099 
loss_mse 0.000039    loss_niqe 8411.542356   loss_pi: 8443.098638 
loss_mse 0.000039    loss_niqe 8418.492850   loss_pi: 8448.188449 
loss_mse 0.000039    loss_niqe 8435.948952   loss_pi: 8450.656464 
loss_mse 0.000039    loss_niqe 8437.790320   loss_pi: 8451.507231 
loss_mse 0.000039    loss_niqe 8443.352376   loss_pi: 8457.108855 
loss_mse 0.000039    loss_niqe 8438.438901   loss_pi: 8454.584932 
loss_mse 0.000039    loss_niqe 8439.583459   loss_pi: 8451.146114 
loss_mse 0.000040    loss_niqe 8444.416807   loss_pi: 8456.515933 
loss_mse 0.000040    loss_niqe 8465.566658   loss_pi: 8462.469184 
loss_mse 0.000040    loss_niqe 8449.978986   loss_pi: 8454.217938 
loss_mse 0.000040    loss_niqe 8458.570164   loss_pi: 8467.315123 
loss_mse 0.000040    loss_niqe 8458.298763   loss_pi: 8465.578165 
loss_mse 0.000040    loss_niqe 8454.775709   loss_pi: 8466.041763 
loss_mse 0.000040    loss_niqe 8455.489629   loss_pi: 8460.516458 
loss_mse 0.000040    loss_niqe 8474.181510   loss_pi: 8463.581369 
loss_mse 0.000040    loss_niqe 8475.164565   loss_pi: 8471.200392 
loss_mse 0.000040    loss_niqe 8465.823786   loss_pi: 8469.306213 
loss_mse 0.000040    loss_niqe 8475.210594   loss_pi: 8471.554114 
loss_mse 0.000041    loss_niqe 8487.196281   loss_pi: 8476.380865 
loss_mse 0.000041    loss_niqe 8474.607640   loss_pi: 8467.653107 
loss_mse 0.000041    loss_niqe 8482.899148   loss_pi: 8476.715567 
loss_mse 0.000041    loss_niqe 8489.238796   loss_pi: 8478.254319 
loss_mse 0.000041    loss_niqe 8480.761719   loss_pi: 8474.143376 
loss_mse 0.000041    loss_niqe 8491.146141   loss_pi: 8479.198647 
loss_mse 0.000041    loss_niqe 8486.835730   loss_pi: 8479.616343 
loss_mse 0.000042    loss_niqe 8498.398144   loss_pi: 8484.170301 
loss_mse 0.000042    loss_niqe 8508.664598   loss_pi: 8490.480625 
loss_mse 0.000042    loss_niqe 8506.841558   loss_pi: 8483.976174 
loss_mse 0.000042    loss_niqe 8508.113010   loss_pi: 8482.163376 
loss_mse 0.000042    loss_niqe 8483.495770   loss_pi: 8471.585570 
loss_mse 0.000042    loss_niqe 8505.072173   loss_pi: 8477.739335 
loss_mse 0.000042    loss_niqe 8496.208949   loss_pi: 8473.734561 
loss_mse 0.000042    loss_niqe 8502.879904   loss_pi: 8475.741797 
loss_mse 0.000042    loss_niqe 8493.629080   loss_pi: 8471.687273 
loss_mse 0.000042    loss_niqe 8505.269679   loss_pi: 8475.557836 
loss_mse 0.000042    loss_niqe 8505.908079   loss_pi: 8476.489557 
loss_mse 0.000043    loss_niqe 8519.903679   loss_pi: 8482.483895 
loss_mse 0.000043    loss_niqe 8516.367284   loss_pi: 8487.108055 
loss_mse 0.000043    loss_niqe 8516.657833   loss_pi: 8479.653849 
loss_mse 0.000043    loss_niqe 8514.498333   loss_pi: 8481.774301 
loss_mse 0.000043    loss_niqe 8513.964114   loss_pi: 8480.661110 
loss_mse 0.000043    loss_niqe 8512.604784   loss_pi: 8480.474337 
loss_mse 0.000043    loss_niqe 8505.953430   loss_pi: 8471.768516 
loss_mse 0.000043    loss_niqe 8516.193555   loss_pi: 8480.523222 
loss_mse 0.000043    loss_niqe 8520.741719   loss_pi: 8485.294381 
loss_mse 0.000043    loss_niqe 8519.646990   loss_pi: 8479.273222 
loss_mse 0.000043    loss_niqe 8522.151696   loss_pi: 8487.849583 
loss_mse 0.000043    loss_niqe 8522.758324   loss_pi: 8490.158367 
loss_mse 0.000043    loss_niqe 8522.635770   loss_pi: 8486.748944 
loss_mse 0.000043    loss_niqe 8521.988939   loss_pi: 8489.194896 
loss_mse 0.000043    loss_niqe 8513.740366   loss_pi: 8484.470863 
loss_mse 0.000043    loss_niqe 8510.461814   loss_pi: 8484.854269 
loss_mse 0.000044    loss_niqe 8514.549498   loss_pi: 8489.970505 
loss_mse 0.000044    loss_niqe 8506.897167   loss_pi: 8488.241503 
loss_mse 0.000043    loss_niqe 8528.620793   loss_pi: 8490.727217 
loss_mse 0.000043    loss_niqe 8529.521057   loss_pi: 8495.904976 
loss_mse 0.000043    loss_niqe 8518.305127   loss_pi: 8492.090764 
loss_mse 0.000044    loss_niqe 8514.961307   loss_pi: 8490.816336 
loss_mse 0.000044    loss_niqe 8533.870798   loss_pi: 8500.708797 
loss_mse 0.000043    loss_niqe 8525.434173   loss_pi: 8496.332001 
loss_mse 0.000044    loss_niqe 8536.359623   loss_pi: 8504.234395 
loss_mse 0.000044    loss_niqe 8527.563628   loss_pi: 8498.793739 
loss_mse 0.000044    loss_niqe 8526.430754   loss_pi: 8497.374897 
loss_mse 0.000044    loss_niqe 8518.383651   loss_pi: 8494.732580 
loss_mse 0.000044    loss_niqe 8531.297333   loss_pi: 8498.743207 
loss_mse 0.000043    loss_niqe 8537.268852   loss_pi: 8497.813541 
loss_mse 0.000043    loss_niqe 8533.831113   loss_pi: 8501.318621 
loss_mse 0.000044    loss_niqe 8519.921478   loss_pi: 8497.674672 
loss_mse 0.000044    loss_niqe 8522.190413   loss_pi: 8495.498810 
loss_mse 0.000044    loss_niqe 8519.354713   loss_pi: 8491.034133 
loss_mse 0.000044    loss_niqe 8538.211150   loss_pi: 8501.095140 
loss_mse 0.000044    loss_niqe 8537.789788   loss_pi: 8502.586563 
loss_mse 0.000044    loss_niqe 8541.528797   loss_pi: 8499.621775 
loss_mse 0.000044    loss_niqe 8544.977049   loss_pi: 8506.083634 
loss_mse 0.000044    loss_niqe 8543.622264   loss_pi: 8501.827638 
